,title,avg_trust
14,Bernie Sanders' Simon & Garfunkel ad raises goose bumps,0.0
32,Cuomo: New Yorkers Not ‘Judgmental’ Like Cruz,-0.166666666667
34,Donald Trump Leads Georgia by Wide Margin,0.0
36,Donald Trump and the Art of the Mideast Peace Deal,0.0
38,"Donald Trump, Despite Impieties, Wins Hearts of Evangelical Voters",-0.333333333333
60,First Draft: Hillary Clinton to Highlight Core Supporters on Anniversary of Roe v. Wade,0.0
70,First Draft: Ted Cruz’s Iowa Bus Tour: Ethanol Subsidies and Shark Jumping,-0.166666666667
73,First on CNN: Conservative super PAC to air ad hitting Clinton on paid speech transcripts,0.0
76,First on XXX: Texas Gov. Greg Abbott to endorse Cruz for president,0.0
83,Jerry Falwell backs Donald Trump: Satire is dead (Opinion),-0.333333333333
99,Sanders to release letter from his doctor before Iowa caucuses,0.0
105,"Taking Note: Trump vs. Pope, Round 2",0.0
113,The 2016 Race: How to Understand Donald Trump’s Defeat in Iowa,-0.166666666667
125,Why Cruz is in trouble in Texas,0.0
