,title, url,avg_trust,tweets by exact title
14,Bernie Sanders' Simon & Garfunkel ad raises goose bumps,http://www.cnn.com/2016/01/24/opinions/donald-trump-bernie-sanders-ads-lippert/,0,6
32,Cuomo: New Yorkers Not ‘Judgmental’ Like Cruz,,-0.1666666667,2
34,Donald Trump Leads Georgia by Wide Margin,,0,1
36,Donald Trump and the Art of the Mideast Peace Deal,,0,2
38,"Donald Trump, Despite Impieties, Wins Hearts of Evangelical Voters",,-0.3333333333,29
60,First Draft: Hillary Clinton to Highlight Core Supporters on Anniversary of Roe v. Wade,,0,4
70,First Draft: Ted Cruz’s Iowa Bus Tour: Ethanol Subsidies and Shark Jumping,,-0.1666666667,4
73,First on CNN: Conservative super PAC to air ad hitting Clinton on paid speech transcripts,,0,12
76,First on CNN: Texas Gov. Greg Abbott to endorse Cruz for president,,0,9
83,Jerry Falwell backs Donald Trump: Satire is dead (Opinion),,-0.3333333333,6
99,Sanders to release letter from his doctor before Iowa caucuses,,0,6
105,"Taking Note: Trump vs. Pope, Round 2",,0,7
113,The 2016 Race: How to Understand Donald Trump’s Defeat in Iowa,,-0.1666666667,32
125,Why Cruz is in trouble in Texas,,0,10
