worker_id,gender,age,party,voting_for,state,title,source,candidate,flesch,is_complex,fair,trust
nan,female,30-49,democrat,Hillary Clinton,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,None,cruz,11.8,1,1,2
nan,female,30-49,democrat,Hillary Clinton,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",None,sanders,14.1,1,1,-1
nan,female,30-49,democrat,Hillary Clinton,nan,The Latest: Sanders says Trump campaign based on division,None,sanders,8,0,2,2
nan,female,30-49,democrat,Hillary Clinton,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,None,clinton,7.5,0,2,1
nan,female,30-49,democrat,Hillary Clinton,nan,Trump not backing down from Fox debate boycott,None,trump,11.7,1,2,2
nan,female,30-49,democrat,Hillary Clinton,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,None,cruz,7.9,0,2,2.0
nan,female,30-49,democrat,Hillary Clinton,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,None,trump,5.8,0,2,2.0
nan,female,30-49,democrat,Hillary Clinton,nan,"Clinton Allies Forming Group to Protect, Register Voters",None,clinton,14.2,1,2,2
nan,male,50-64,republican,Donald Trump,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,None,cruz,11.8,1,1,1
nan,male,50-64,republican,Donald Trump,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",None,sanders,14.1,1,1,1
nan,male,50-64,republican,Donald Trump,nan,The Latest: Sanders says Trump campaign based on division,None,sanders,8,0,-2,-2
nan,male,50-64,republican,Donald Trump,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,None,clinton,7.5,0,-1,-1
nan,male,50-64,republican,Donald Trump,nan,Trump not backing down from Fox debate boycott,None,trump,11.7,1,-1,-1
nan,male,50-64,republican,Donald Trump,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,None,cruz,7.9,0,0,0.0
nan,male,50-64,republican,Donald Trump,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,None,trump,5.8,0,-1,-1.0
nan,male,50-64,republican,Donald Trump,nan,"Clinton Allies Forming Group to Protect, Register Voters",None,clinton,14.2,1,1,1
nan,female,30-49,no_affiliation,Hillary Clinton,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,None,cruz,11.8,1,1,1
nan,female,30-49,no_affiliation,Hillary Clinton,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",None,sanders,14.1,1,0,0
nan,female,30-49,no_affiliation,Hillary Clinton,nan,The Latest: Sanders says Trump campaign based on division,None,sanders,8,0,2,2
nan,female,30-49,no_affiliation,Hillary Clinton,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,None,clinton,7.5,0,1,0
nan,female,30-49,no_affiliation,Hillary Clinton,nan,Trump not backing down from Fox debate boycott,None,trump,11.7,1,0,1
nan,female,30-49,no_affiliation,Hillary Clinton,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,None,cruz,7.9,0,1,1.0
nan,female,30-49,no_affiliation,Hillary Clinton,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,None,trump,5.8,0,0,0.0
nan,female,30-49,no_affiliation,Hillary Clinton,nan,"Clinton Allies Forming Group to Protect, Register Voters",None,clinton,14.2,1,1,1
nan,female,18-29,democrat,Hillary Clinton,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,None,cruz,11.8,1,0,-1
