worker_id,gender,age,party,voting_for,state,title,source,candidate,flesch,is_complex,fair,trust
11896941,female,30-49,democrat,clinton,FL,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,1,2
11896941,female,30-49,democrat,clinton,FL,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,1,-1
11896941,female,30-49,democrat,clinton,FL,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,2,2
11896941,female,30-49,democrat,clinton,FL,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,2,1
11896941,female,30-49,democrat,clinton,FL,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,2,2
11896941,female,30-49,democrat,clinton,FL,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,2,2.0
11896941,female,30-49,democrat,clinton,FL,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,2,2.0
11896941,female,30-49,democrat,clinton,FL,"Clinton Allies Forming Group to Protect, Register Voters",nooooone,clinton,14.2,1,2,2
3515924,male,50-64,republican,trump,LA,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,1,1
3515924,male,50-64,republican,trump,LA,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,1,1
3515924,male,50-64,republican,trump,LA,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,-2,-2
3515924,male,50-64,republican,trump,LA,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,-1,-1
3515924,male,50-64,republican,trump,LA,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,-1,-1
3515924,male,50-64,republican,trump,LA,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,0,0.0
3515924,male,50-64,republican,trump,LA,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,-1,-1.0
3515924,male,50-64,republican,trump,LA,"Clinton Allies Forming Group to Protect, Register Voters",nooooone,clinton,14.2,1,1,1
34737109,female,30-49,no_affiliation,clinton,AL,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,1,1
34737109,female,30-49,no_affiliation,clinton,AL,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,0,0
34737109,female,30-49,no_affiliation,clinton,AL,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,2,2
34737109,female,30-49,no_affiliation,clinton,AL,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,1,0
34737109,female,30-49,no_affiliation,clinton,AL,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,0,1
34737109,female,30-49,no_affiliation,clinton,AL,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,1,1.0
34737109,female,30-49,no_affiliation,clinton,AL,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,0,0.0
34737109,female,30-49,no_affiliation,clinton,AL,"Clinton Allies Forming Group to Protect, Register Voters",nooooone,clinton,14.2,1,1,1
35172683,female,18-29,democrat,clinton,NC,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,0,-1
35172683,female,18-29,democrat,clinton,NC,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,1,1
35172683,female,18-29,democrat,clinton,NC,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,2,2
35172683,female,18-29,democrat,clinton,NC,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,1,1
35172683,female,18-29,democrat,clinton,NC,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,-1,-1
35172683,female,18-29,democrat,clinton,NC,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,0,-1.0
35172683,female,18-29,democrat,clinton,NC,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,0,0.0
35172683,female,18-29,democrat,clinton,NC,"Clinton Allies Forming Group to Protect, Register Voters",nooooone,clinton,14.2,1,2,2
34430732,female,18-29,democrat,clinton,NY,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,-1,-1
34430732,female,18-29,democrat,clinton,NY,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,1,1
34430732,female,18-29,democrat,clinton,NY,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,1,2
34430732,female,18-29,democrat,clinton,NY,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,2,2
34430732,female,18-29,democrat,clinton,NY,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,-2,-1
34430732,female,18-29,democrat,clinton,NY,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,-1,-1.0
34430732,female,18-29,democrat,clinton,NY,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,0,-1.0
