worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
11896941,female,30-49,democrat,clinton,FL,nooooone,cruz,11.8,1,1,2.0
11896941,female,30-49,democrat,clinton,FL,nooooone,sanders,14.1,1,1,-1.0
11896941,female,30-49,democrat,clinton,FL,nooooone,sanders,8.0,0,2,2.0
11896941,female,30-49,democrat,clinton,FL,nooooone,clinton,7.5,0,2,1.0
11896941,female,30-49,democrat,clinton,FL,nooooone,trump,11.7,1,2,2.0
11896941,female,30-49,democrat,clinton,FL,nooooone,cruz,7.9,0,2,2.0
11896941,female,30-49,democrat,clinton,FL,nooooone,trump,5.8,0,2,2.0
11896941,female,30-49,democrat,clinton,FL,nooooone,clinton,14.2,1,2,2.0
3515924,male,50-64,republican,trump,LA,nooooone,cruz,11.8,1,1,1.0
3515924,male,50-64,republican,trump,LA,nooooone,sanders,14.1,1,1,1.0
3515924,male,50-64,republican,trump,LA,nooooone,sanders,8.0,0,-2,-2.0
3515924,male,50-64,republican,trump,LA,nooooone,clinton,7.5,0,-1,-1.0
3515924,male,50-64,republican,trump,LA,nooooone,trump,11.7,1,-1,-1.0
3515924,male,50-64,republican,trump,LA,nooooone,cruz,7.9,0,0,0.0
3515924,male,50-64,republican,trump,LA,nooooone,trump,5.8,0,-1,-1.0
3515924,male,50-64,republican,trump,LA,nooooone,clinton,14.2,1,1,1.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,cruz,11.8,1,1,1.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,sanders,14.1,1,0,0.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,sanders,8.0,0,2,2.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,clinton,7.5,0,1,0.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,trump,11.7,1,0,1.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,cruz,7.9,0,1,1.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,trump,5.8,0,0,0.0
34737109,female,30-49,no_affiliation,clinton,AL,nooooone,clinton,14.2,1,1,1.0
35172683,female,18-29,democrat,clinton,NC,nooooone,cruz,11.8,1,0,-1.0
35172683,female,18-29,democrat,clinton,NC,nooooone,sanders,14.1,1,1,1.0
35172683,female,18-29,democrat,clinton,NC,nooooone,sanders,8.0,0,2,2.0
35172683,female,18-29,democrat,clinton,NC,nooooone,clinton,7.5,0,1,1.0
35172683,female,18-29,democrat,clinton,NC,nooooone,trump,11.7,1,-1,-1.0
35172683,female,18-29,democrat,clinton,NC,nooooone,cruz,7.9,0,0,-1.0
35172683,female,18-29,democrat,clinton,NC,nooooone,trump,5.8,0,0,0.0
35172683,female,18-29,democrat,clinton,NC,nooooone,clinton,14.2,1,2,2.0
34430732,female,18-29,democrat,clinton,NY,nooooone,cruz,11.8,1,-1,-1.0
34430732,female,18-29,democrat,clinton,NY,nooooone,sanders,14.1,1,1,1.0
34430732,female,18-29,democrat,clinton,NY,nooooone,sanders,8.0,0,1,2.0
34430732,female,18-29,democrat,clinton,NY,nooooone,clinton,7.5,0,2,2.0
34430732,female,18-29,democrat,clinton,NY,nooooone,trump,11.7,1,-2,-1.0
34430732,female,18-29,democrat,clinton,NY,nooooone,cruz,7.9,0,-1,-1.0
