worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
11896941,female,30-49,democrat,clinton,FL,&nbsp;,cruz,11.8,1,1,2
11896941,female,30-49,democrat,clinton,FL,&nbsp;,sanders,14.1,1,1,-1
11896941,female,30-49,democrat,clinton,FL,&nbsp;,sanders,8,0,2,2
11896941,female,30-49,democrat,clinton,FL,&nbsp;,clinton,7.5,0,2,1
11896941,female,30-49,democrat,clinton,FL,&nbsp;,trump,11.7,1,2,2
11896941,female,30-49,democrat,clinton,FL,&nbsp;,cruz,7.9,0,2,2.0
11896941,female,30-49,democrat,clinton,FL,&nbsp;,trump,5.8,0,2,2.0
11896941,female,30-49,democrat,clinton,FL,&nbsp;,clinton,14.2,1,2,2
3515924,male,50-64,republican,trump,LA,&nbsp;,cruz,11.8,1,1,1
3515924,male,50-64,republican,trump,LA,&nbsp;,sanders,14.1,1,1,1
3515924,male,50-64,republican,trump,LA,&nbsp;,sanders,8,0,-2,-2
3515924,male,50-64,republican,trump,LA,&nbsp;,clinton,7.5,0,-1,-1
3515924,male,50-64,republican,trump,LA,&nbsp;,trump,11.7,1,-1,-1
3515924,male,50-64,republican,trump,LA,&nbsp;,cruz,7.9,0,0,0.0
3515924,male,50-64,republican,trump,LA,&nbsp;,trump,5.8,0,-1,-1.0
3515924,male,50-64,republican,trump,LA,&nbsp;,clinton,14.2,1,1,1
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,cruz,11.8,1,1,1
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,sanders,14.1,1,0,0
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,sanders,8,0,2,2
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,clinton,7.5,0,1,0
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,trump,11.7,1,0,1
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,cruz,7.9,0,1,1.0
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,trump,5.8,0,0,0.0
34737109,female,30-49,no_affiliation,clinton,AL,&nbsp;,clinton,14.2,1,1,1
35172683,female,18-29,democrat,clinton,NC,&nbsp;,cruz,11.8,1,0,-1
35172683,female,18-29,democrat,clinton,NC,&nbsp;,sanders,14.1,1,1,1
35172683,female,18-29,democrat,clinton,NC,&nbsp;,sanders,8,0,2,2
35172683,female,18-29,democrat,clinton,NC,&nbsp;,clinton,7.5,0,1,1
35172683,female,18-29,democrat,clinton,NC,&nbsp;,trump,11.7,1,-1,-1
35172683,female,18-29,democrat,clinton,NC,&nbsp;,cruz,7.9,0,0,-1.0
35172683,female,18-29,democrat,clinton,NC,&nbsp;,trump,5.8,0,0,0.0
