,worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust,match
0,11896941,female,30-49,democrat,clinton,FL,&nbsp;,cruz,11.8,1,1,2.0,-1
1,11896941,female,30-49,democrat,clinton,FL,&nbsp;,sanders,14.1,1,1,-1.0,-1
2,11896941,female,30-49,democrat,clinton,FL,&nbsp;,sanders,8.0,0,2,2.0,-1
3,11896941,female,30-49,democrat,clinton,FL,&nbsp;,clinton,7.5,0,2,1.0,-1
4,11896941,female,30-49,democrat,clinton,FL,&nbsp;,trump,11.7,1,2,2.0,-1
5,11896941,female,30-49,democrat,clinton,FL,&nbsp;,cruz,7.9,0,2,2.0,-1
6,11896941,female,30-49,democrat,clinton,FL,&nbsp;,trump,5.8,0,2,2.0,-1
7,11896941,female,30-49,democrat,clinton,FL,&nbsp;,clinton,14.2,1,2,2.0,-1
8,3515924,male,50-64,republican,trump,LA,&nbsp;,cruz,11.8,1,1,1.0,-1
9,3515924,male,50-64,republican,trump,LA,&nbsp;,sanders,14.1,1,1,1.0,-1
10,3515924,male,50-64,republican,trump,LA,&nbsp;,sanders,8.0,0,-2,-2.0,-1
11,3515924,male,50-64,republican,trump,LA,&nbsp;,clinton,7.5,0,-1,-1.0,-1
12,3515924,male,50-64,republican,trump,LA,&nbsp;,trump,11.7,1,-1,-1.0,-1
13,3515924,male,50-64,republican,trump,LA,&nbsp;,cruz,7.9,0,0,0.0,-1
14,3515924,male,50-64,republican,trump,LA,&nbsp;,trump,5.8,0,-1,-1.0,-1
15,3515924,male,50-64,republican,trump,LA,&nbsp;,clinton,14.2,1,1,1.0,-1
24,35172683,female,18-29,democrat,clinton,NC,&nbsp;,cruz,11.8,1,0,-1.0,-1
25,35172683,female,18-29,democrat,clinton,NC,&nbsp;,sanders,14.1,1,1,1.0,-1
26,35172683,female,18-29,democrat,clinton,NC,&nbsp;,sanders,8.0,0,2,2.0,-1
27,35172683,female,18-29,democrat,clinton,NC,&nbsp;,clinton,7.5,0,1,1.0,-1
28,35172683,female,18-29,democrat,clinton,NC,&nbsp;,trump,11.7,1,-1,-1.0,-1
29,35172683,female,18-29,democrat,clinton,NC,&nbsp;,cruz,7.9,0,0,-1.0,-1
30,35172683,female,18-29,democrat,clinton,NC,&nbsp;,trump,5.8,0,0,0.0,-1
31,35172683,female,18-29,democrat,clinton,NC,&nbsp;,clinton,14.2,1,2,2.0,-1
32,34430732,female,18-29,democrat,clinton,NY,&nbsp;,cruz,11.8,1,-1,-1.0,-1
33,34430732,female,18-29,democrat,clinton,NY,&nbsp;,sanders,14.1,1,1,1.0,-1
34,34430732,female,18-29,democrat,clinton,NY,&nbsp;,sanders,8.0,0,1,2.0,-1
35,34430732,female,18-29,democrat,clinton,NY,&nbsp;,clinton,7.5,0,2,2.0,-1
36,34430732,female,18-29,democrat,clinton,NY,&nbsp;,trump,11.7,1,-2,-1.0,-1
37,34430732,female,18-29,democrat,clinton,NY,&nbsp;,cruz,7.9,0,-1,-1.0,-1
38,34430732,female,18-29,democrat,clinton,NY,&nbsp;,trump,5.8,0,0,-1.0,-1
39,34430732,female,18-29,democrat,clinton,NY,&nbsp;,clinton,14.2,1,2,2.0,-1
40,35120188,male,18-29,democrat,sanders,DE,&nbsp;,cruz,11.8,1,1,1.0,-1
41,35120188,male,18-29,democrat,sanders,DE,&nbsp;,sanders,14.1,1,2,2.0,-1
42,35120188,male,18-29,democrat,sanders,DE,&nbsp;,sanders,8.0,0,2,2.0,-1
43,35120188,male,18-29,democrat,sanders,DE,&nbsp;,clinton,7.5,0,1,0.0,-1
44,35120188,male,18-29,democrat,sanders,DE,&nbsp;,trump,11.7,1,0,-1.0,-1
45,35120188,male,18-29,democrat,sanders,DE,&nbsp;,cruz,7.9,0,-1,-1.0,-1
46,35120188,male,18-29,democrat,sanders,DE,&nbsp;,trump,5.8,0,0,0.0,-1
47,35120188,male,18-29,democrat,sanders,DE,&nbsp;,clinton,14.2,1,1,1.0,-1
48,19638651,female,50-64,democrat,other,SC,&nbsp;,cruz,11.8,1,1,1.0,-1
49,19638651,female,50-64,democrat,other,SC,&nbsp;,sanders,14.1,1,1,1.0,-1
50,19638651,female,50-64,democrat,other,SC,&nbsp;,sanders,8.0,0,1,1.0,-1
51,19638651,female,50-64,democrat,other,SC,&nbsp;,clinton,7.5,0,1,0.0,-1
52,19638651,female,50-64,democrat,other,SC,&nbsp;,trump,11.7,1,0,-1.0,-1
53,19638651,female,50-64,democrat,other,SC,&nbsp;,cruz,7.9,0,1,1.0,-1
54,19638651,female,50-64,democrat,other,SC,&nbsp;,trump,5.8,0,1,0.0,-1
55,19638651,female,50-64,democrat,other,SC,&nbsp;,clinton,14.2,1,1,1.0,-1
64,9383666,male,50-64,republican,kasich,IN,&nbsp;,cruz,11.8,1,1,1.0,-1
65,9383666,male,50-64,republican,kasich,IN,&nbsp;,sanders,14.1,1,1,1.0,-1
66,9383666,male,50-64,republican,kasich,IN,&nbsp;,sanders,8.0,0,1,0.0,-1
67,9383666,male,50-64,republican,kasich,IN,&nbsp;,clinton,7.5,0,0,0.0,-1
68,9383666,male,50-64,republican,kasich,IN,&nbsp;,trump,11.7,1,-1,0.0,-1
69,9383666,male,50-64,republican,kasich,IN,&nbsp;,cruz,7.9,0,1,1.0,-1
70,9383666,male,50-64,republican,kasich,IN,&nbsp;,trump,5.8,0,0,1.0,-1
71,9383666,male,50-64,republican,kasich,IN,&nbsp;,clinton,14.2,1,1,1.0,-1
80,37012492,male,18-29,republican,trump,DE,&nbsp;,cruz,11.8,1,2,2.0,-1
81,37012492,male,18-29,republican,trump,DE,&nbsp;,sanders,14.1,1,2,2.0,-1
82,37012492,male,18-29,republican,trump,DE,&nbsp;,sanders,8.0,0,1,1.0,-1
83,37012492,male,18-29,republican,trump,DE,&nbsp;,clinton,7.5,0,1,1.0,-1
84,37012492,male,18-29,republican,trump,DE,&nbsp;,trump,11.7,1,2,2.0,-1
85,37012492,male,18-29,republican,trump,DE,&nbsp;,cruz,7.9,0,2,2.0,-1
86,37012492,male,18-29,republican,trump,DE,&nbsp;,trump,5.8,0,1,1.0,-1
87,37012492,male,18-29,republican,trump,DE,&nbsp;,clinton,14.2,1,2,1.0,-1
88,36272463,male,30-49,democrat,clinton,VA,&nbsp;,cruz,11.8,1,-1,-1.0,-1
89,36272463,male,30-49,democrat,clinton,VA,&nbsp;,sanders,14.1,1,-1,-1.0,-1
90,36272463,male,30-49,democrat,clinton,VA,&nbsp;,sanders,8.0,0,1,1.0,-1
91,36272463,male,30-49,democrat,clinton,VA,&nbsp;,clinton,7.5,0,1,1.0,-1
92,36272463,male,30-49,democrat,clinton,VA,&nbsp;,trump,11.7,1,-1,-1.0,-1
93,36272463,male,30-49,democrat,clinton,VA,&nbsp;,cruz,7.9,0,1,1.0,-1
94,36272463,male,30-49,democrat,clinton,VA,&nbsp;,trump,5.8,0,1,1.0,-1
95,36272463,male,30-49,democrat,clinton,VA,&nbsp;,clinton,14.2,1,1,1.0,-1
96,18785646,female,30-49,democrat,sanders,NY,&nbsp;,cruz,11.8,1,2,2.0,-1
97,18785646,female,30-49,democrat,sanders,NY,&nbsp;,sanders,14.1,1,2,2.0,-1
98,18785646,female,30-49,democrat,sanders,NY,&nbsp;,sanders,8.0,0,2,2.0,-1
99,18785646,female,30-49,democrat,sanders,NY,&nbsp;,clinton,7.5,0,0,-1.0,-1
100,18785646,female,30-49,democrat,sanders,NY,&nbsp;,trump,11.7,1,1,1.0,-1
101,18785646,female,30-49,democrat,sanders,NY,&nbsp;,cruz,7.9,0,0,-1.0,-1
102,18785646,female,30-49,democrat,sanders,NY,&nbsp;,trump,5.8,0,1,1.0,-1
103,18785646,female,30-49,democrat,sanders,NY,&nbsp;,clinton,14.2,1,0,1.0,-1
112,36979264,male,18-29,republican,trump,TX,&nbsp;,cruz,11.8,1,1,2.0,-1
113,36979264,male,18-29,republican,trump,TX,&nbsp;,sanders,14.1,1,-1,0.0,-1
114,36979264,male,18-29,republican,trump,TX,&nbsp;,sanders,8.0,0,0,0.0,-1
115,36979264,male,18-29,republican,trump,TX,&nbsp;,clinton,7.5,0,-1,1.0,-1
116,36979264,male,18-29,republican,trump,TX,&nbsp;,trump,11.7,1,-1,0.0,-1
117,36979264,male,18-29,republican,trump,TX,&nbsp;,cruz,7.9,0,1,1.0,-1
118,36979264,male,18-29,republican,trump,TX,&nbsp;,trump,5.8,0,-1,0.0,-1
119,36979264,male,18-29,republican,trump,TX,&nbsp;,clinton,14.2,1,1,1.0,-1
120,36858304,male,18-29,democrat,clinton,CA,&nbsp;,cruz,11.8,1,2,1.0,-1
121,36858304,male,18-29,democrat,clinton,CA,&nbsp;,sanders,14.1,1,0,1.0,-1
122,36858304,male,18-29,democrat,clinton,CA,&nbsp;,sanders,8.0,0,1,1.0,-1
123,36858304,male,18-29,democrat,clinton,CA,&nbsp;,clinton,7.5,0,2,2.0,-1
124,36858304,male,18-29,democrat,clinton,CA,&nbsp;,trump,11.7,1,-1,-1.0,-1
125,36858304,male,18-29,democrat,clinton,CA,&nbsp;,cruz,7.9,0,-1,-1.0,-1
126,36858304,male,18-29,democrat,clinton,CA,&nbsp;,trump,5.8,0,1,1.0,-1
127,36858304,male,18-29,democrat,clinton,CA,&nbsp;,clinton,14.2,1,2,2.0,-1
128,32695853,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,1.0,-1
