worker_id,gender,age,party,voting_for,state,title,source,candidate,flesch,is_complex,fair,trust
11896941,female,30-49,democrat,Hillary Clinton,FL,Cruz Looks to Shore Up Support Among Iowa Evangelicals,&nbsp;,cruz,11.8,1,1,2
11896941,female,30-49,democrat,Hillary Clinton,FL,"Sanders tours Roosevelt site, says Bation can learn from FDR",&nbsp;,sanders,14.1,1,1,-1
11896941,female,30-49,democrat,Hillary Clinton,FL,The Latest: Sanders says Trump campaign based on division,&nbsp;,sanders,8,0,2,2
11896941,female,30-49,democrat,Hillary Clinton,FL,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,&nbsp;,clinton,7.5,0,2,1
11896941,female,30-49,democrat,Hillary Clinton,FL,Trump not backing down from Fox debate boycott,&nbsp;,trump,11.7,1,2,2
11896941,female,30-49,democrat,Hillary Clinton,FL,The Latest: Bible prominent in Final Cruz Pitches to Voters,&nbsp;,cruz,7.9,0,2,2
11896941,female,30-49,democrat,Hillary Clinton,FL,FACT CHECK: Audio refutes Trump's claim on China tariff,&nbsp;,trump,5.8,0,2,2
11896941,female,30-49,democrat,Hillary Clinton,FL,"Clinton Allies Forming Group to Protect, Register Voters",&nbsp;,clinton,14.2,1,2,2
3515924,male,50-64,republican,Donald Trump,LA,Cruz Looks to Shore Up Support Among Iowa Evangelicals,&nbsp;,cruz,11.8,1,1,1
3515924,male,50-64,republican,Donald Trump,LA,"Sanders tours Roosevelt site, says Bation can learn from FDR",&nbsp;,sanders,14.1,1,1,1
3515924,male,50-64,republican,Donald Trump,LA,The Latest: Sanders says Trump campaign based on division,&nbsp;,sanders,8,0,-2,-2
3515924,male,50-64,republican,Donald Trump,LA,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,&nbsp;,clinton,7.5,0,-1,-1
3515924,male,50-64,republican,Donald Trump,LA,Trump not backing down from Fox debate boycott,&nbsp;,trump,11.7,1,-1,-1
3515924,male,50-64,republican,Donald Trump,LA,The Latest: Bible prominent in Final Cruz Pitches to Voters,&nbsp;,cruz,7.9,0,0,0
3515924,male,50-64,republican,Donald Trump,LA,FACT CHECK: Audio refutes Trump's claim on China tariff,&nbsp;,trump,5.8,0,-1,-1
3515924,male,50-64,republican,Donald Trump,LA,"Clinton Allies Forming Group to Protect, Register Voters",&nbsp;,clinton,14.2,1,1,1
34737109,female,30-49,no_affiliation,Hillary Clinton,AL,Cruz Looks to Shore Up Support Among Iowa Evangelicals,&nbsp;,cruz,11.8,1,1,1
