,worker_id,gender,age,party,voting_for,state,title,url,org,candidate,flesch,gunning_fog,readability,topic,favor,trust,group,trust_score,favor_score,trust_binary,voting_for_coded,party_coded,flesch_coded
0,36858304,male,18-29,democrat,Hillary Clinton,CA,"First Draft: Donald Trump Backer Gets $1 Million Back, Then Donates It Again",http://www.nytimes.com/politics/first-draft/2016/02/03/donald-trump-backer-gets-1-million-back-then-donates-it-again/,The New York Times,Donald Trump,5.2,6.4,77.23,Campaign Finance,Unfavorable,Neutral,A,0,-1,Neutral,1,1,-1
1,36858304,male,18-29,democrat,Hillary Clinton,CA,First Draft: Bernie Sanders Promises to Keep Pressing the Campaign,http://www.nytimes.com/politics/first-draft/2016/02/29/bernie-sanders-promises-to-keep-pressing-the-campaign/,The New York Times,Bernie Sanders,8.7,10.0,68.1,Campaign Finance,Favorable,Agree,A,1,1,Agree,1,1,0
2,36858304,male,18-29,democrat,Hillary Clinton,CA,First Draft: Hillary Clinton to Open Asian-American Outreach Effort in California,http://www.nytimes.com/politics/first-draft/2016/01/07/hillary-clinton-to-open-asian-american-outreach-effort-in-california/,The New York Times,Hillary Clinton,9.5,8.4,55.24,Immigration,Favorable,Strongly Agree,A,2,1,Agree,1,1,0
3,36858304,male,18-29,democrat,Hillary Clinton,CA,Bernie Sanders' Simon & Garfunkel ad raises goose bumps,http://www.cnn.com/2016/01/24/opinions/donald-trump-bernie-sanders-ads-lippert/index.html,CNN,Bernie Sanders,10.7,10.8,57.61,Immigration,Neutral,Agree,A,1,0,Agree,1,1,1
4,36858304,male,18-29,democrat,Hillary Clinton,CA,First Draft: Hillary Clinton Promises Not to Be ‘Deporter in Chief’,http://www.nytimes.com/politics/first-draft/2016/01/12/hillary-clinton-promises-not-to-be-deporter-in-chief/,The New York Times,Hillary Clinton,8.4,8.4,63.7,Immigration,Neutral,Agree,A,1,0,Agree,1,1,-1
5,28081782,male,18-29,republican,Donald Trump,MS,"First Draft: Donald Trump Backer Gets $1 Million Back, Then Donates It Again",http://www.nytimes.com/politics/first-draft/2016/02/03/donald-trump-backer-gets-1-million-back-then-donates-it-again/,The New York Times,Donald Trump,5.2,6.4,77.23,Campaign Finance,Unfavorable,Disagree,A,-1,-1,Disagree,2,2,-1
6,28081782,male,18-29,republican,Donald Trump,MS,First Draft: Bernie Sanders Promises to Keep Pressing the Campaign,http://www.nytimes.com/politics/first-draft/2016/02/29/bernie-sanders-promises-to-keep-pressing-the-campaign/,The New York Times,Bernie Sanders,8.7,10.0,68.1,Campaign Finance,Favorable,Neutral,A,0,1,Neutral,2,2,0
7,28081782,male,18-29,republican,Donald Trump,MS,First Draft: Hillary Clinton to Open Asian-American Outreach Effort in California,http://www.nytimes.com/politics/first-draft/2016/01/07/hillary-clinton-to-open-asian-american-outreach-effort-in-california/,The New York Times,Hillary Clinton,9.5,8.4,55.24,Immigration,Favorable,Disagree,A,-1,1,Disagree,2,2,0
8,28081782,male,18-29,republican,Donald Trump,MS,Bernie Sanders' Simon & Garfunkel ad raises goose bumps,http://www.cnn.com/2016/01/24/opinions/donald-trump-bernie-sanders-ads-lippert/index.html,CNN,Bernie Sanders,10.7,10.8,57.61,Immigration,Unfavorable,Disagree,A,-1,-1,Disagree,2,2,1
9,28081782,male,18-29,republican,Donald Trump,MS,First Draft: Hillary Clinton Promises Not to Be ‘Deporter in Chief’,http://www.nytimes.com/politics/first-draft/2016/01/12/hillary-clinton-promises-not-to-be-deporter-in-chief/,The New York Times,Hillary Clinton,8.4,8.4,63.7,Immigration,Unfavorable,Neutral,A,0,-1,Neutral,2,2,-1
10,32424428,male,18-29,democrat,Hillary Clinton,NY,"First Draft: Donald Trump Backer Gets $1 Million Back, Then Donates It Again",http://www.nytimes.com/politics/first-draft/2016/02/03/donald-trump-backer-gets-1-million-back-then-donates-it-again/,The New York Times,Donald Trump,5.2,6.4,77.23,Campaign Finance,Unfavorable,Agree,A,1,-1,Agree,1,1,-1
11,32424428,male,18-29,democrat,Hillary Clinton,NY,First Draft: Bernie Sanders Promises to Keep Pressing the Campaign,http://www.nytimes.com/politics/first-draft/2016/02/29/bernie-sanders-promises-to-keep-pressing-the-campaign/,The New York Times,Bernie Sanders,8.7,10.0,68.1,Campaign Finance,Favorable,Agree,A,1,1,Agree,1,1,0
12,32424428,male,18-29,democrat,Hillary Clinton,NY,First Draft: Hillary Clinton to Open Asian-American Outreach Effort in California,http://www.nytimes.com/politics/first-draft/2016/01/07/hillary-clinton-to-open-asian-american-outreach-effort-in-california/,The New York Times,Hillary Clinton,9.5,8.4,55.24,Immigration,Neutral,Neutral,A,0,0,Neutral,1,1,0
13,32424428,male,18-29,democrat,Hillary Clinton,NY,Bernie Sanders' Simon & Garfunkel ad raises goose bumps,http://www.cnn.com/2016/01/24/opinions/donald-trump-bernie-sanders-ads-lippert/index.html,CNN,Bernie Sanders,10.7,10.8,57.61,Immigration,Neutral,Neutral,A,0,0,Neutral,1,1,1
14,32424428,male,18-29,democrat,Hillary Clinton,NY,First Draft: Hillary Clinton Promises Not to Be ‘Deporter in Chief’,http://www.nytimes.com/politics/first-draft/2016/01/12/hillary-clinton-promises-not-to-be-deporter-in-chief/,The New York Times,Hillary Clinton,8.4,8.4,63.7,Immigration,Favorable,Neutral,A,0,1,Neutral,1,1,-1
15,37078496,male,18-29,republican,Donald Trump,CA,First Draft: Donald Trump Says He’ll Release Tax Returns ‘at Some Point’,http://www.nytimes.com/politics/first-draft/2016/02/22/donald-trump-says-hell-release-tax-returns-at-some-point/,The New York Times,Donald Trump,5.6,6.8,76.22,Campaign Finance,Favorable,Agree,A,1,1,Agree,2,2,-1
16,37078496,male,18-29,republican,Donald Trump,CA,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,The New York Times,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,Favorable,Neutral,A,0,1,Neutral,2,2,0
17,37078496,male,18-29,republican,Donald Trump,CA,First Draft: Hillary Clinton Leads in Fund-Raising From Lobbyists,http://www.nytimes.com/politics/first-draft/2016/02/01/hillary-clinton-leads-in-fund-raising-from-lobbyists/,The New York Times,Hillary Clinton,10.3,9.2,53.21,Campaign Finance,Favorable,Neutral,A,0,1,Neutral,2,2,0
18,37078496,male,18-29,republican,Donald Trump,CA,Trump unscathed in GOP ad wars,http://www.cnn.com/2016/01/05/politics/primary-conflicts-2016/index.html,CNN,Donald Trump,12.3,12.4,53.55,Campaign Finance,Favorable,Neutral,A,0,1,Neutral,2,2,1
19,37078496,male,18-29,republican,Donald Trump,CA,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,Fox News,Bernie Sanders,12.3,11.2,48.13,Campaign Finance,Unfavorable,Agree,A,1,-1,Agree,2,2,1
