_trust,_country,_region,_city,if_the_election_were_tomorrow_i_would_vote_for,what_is_your_age,what_is_your_gender,what_is_your_political_party_affiliation
1,USA,CA,San Jose,donald_trump,1829,male,republican
0.7188,USA,CA,San Jose,donald_trump,1829,male,republican
0.5417,USA,IN,Warsaw,hillary_clinton,5064,female,democrat
1,USA,GA,Atlanta,hillary_clinton,5064,male,no_affiliation
0.5938,USA,TX,Katy,ted_cruz,3049,female,republican
0.6042,USA,CA,San Jose,bernie_sanders,1829,male,independent_other
1,USA,CA,San Jose,hillary_clinton,1829,female,democrat
0.75,USA,CA,Los Angeles,other,3049,male,no_affiliation
0.5625,USA,WI,Milwaukee,bernie_sanders,5064,male,democrat
1,USA,IL,Chicago,hillary_clinton,1829,female,no_affiliation
0.6563,USA,NC,Raleigh,bernie_sanders,3049,male,independent_other
0.5625,USA,DE,,john_kasich,64,male,republican
1,USA,KY,Owensboro,bernie_sanders,3049,female,independent_other
0.7813,USA,MI,Kalamazoo,might_not_vote,3049,female,democrat
0.5833,USA,MS,Madison,donald_trump,1829,male,republican
1,USA,NC,Jacksonville,donald_trump,3049,female,no_affiliation
0.5,USA,TN,Knoxville,ted_cruz,3049,female,republican
0.5625,USA,NY,Rochester,hillary_clinton,1829,male,democrat
1,USA,CA,Saratoga,hillary_clinton,1829,male,democrat
0.6875,USA,NY,Plainview,donald_trump,1829,male,independent_other
0.6667,USA,DE,Newark,bernie_sanders,1829,male,independent_other
1,USA,OH,Columbus,other,1829,female,republican
0.125,USA,NJ,Mount Laurel,donald_trump,64,male,independent_other
0.625,USA,MA,Taunton,bernie_sanders,5064,male,democrat
1,USA,NC,Charlotte,bernie_sanders,1829,male,no_affiliation
0.6875,USA,CA,San Jose,bernie_sanders,1829,male,independent_other
0.625,USA,CA,San Jose,hillary_clinton,1829,female,democrat
1,USA,NY,New York,hillary_clinton,1829,female,independent_other
0.7813,USA,AE,Apo,bernie_sanders,1829,male,independent_other
0.7917,USA,NY,Potsdam,bernie_sanders,1829,female,democrat
1,USA,CO,Denver,hillary_clinton,5064,female,democrat
0.6875,USA,WA,Renton,bernie_sanders,3049,male,no_affiliation
0.5625,USA,CA,San Jose,ted_cruz,3049,male,republican
1,USA,CA,San Jose,hillary_clinton,3049,male,democrat
0.7188,USA,IL,Chicago,other,1829,female,republican
0.6458,USA,KY,Winchester,donald_trump,3049,female,republican
1,USA,NY,New York,hillary_clinton,1829,male,democrat
0.75,USA,IN,Indianapolis,ted_cruz,3049,male,republican
0.5625,USA,AE,Apo,donald_trump,1829,male,democrat
1,USA,IN,Evansville,ted_cruz,64,female,independent_other
0.5938,USA,CA,San Jose,hillary_clinton,3049,male,democrat
0.625,USA,MI,Grand Haven,john_kasich,5064,female,independent_other
1,USA,CT,Hartford,hillary_clinton,1829,male,democrat
0.6875,USA,UT,Providence,bernie_sanders,1829,male,democrat
0.625,USA,WV,Martinsburg,bernie_sanders,1829,male,democrat
1,USA,OH,Mansfield,hillary_clinton,3049,female,democrat
0.7188,USA,NV,Las Vegas,hillary_clinton,3049,male,democrat
0.5625,USA,VA,Martinsville,might_not_vote,3049,female,democrat
1,USA,IL,Dekalb,might_not_vote,1829,male,independent_other
0.6563,USA,KS,Emporia,might_not_vote,1829,female,no_affiliation
0.5625,USA,DE,,john_kasich,3049,female,independent_other
1,USA,MA,South Hadley,bernie_sanders,3049,female,democrat
0.625,USA,CA,San Jose,donald_trump,1829,male,republican
0.5833,USA,NY,Utica,might_not_vote,3049,female,republican
1,USA,GA,Atlanta,bernie_sanders,3049,male,no_affiliation
0.75,USA,IN,Noblesville,john_kasich,5064,male,republican
0.625,USA,AL,Birmingham,hillary_clinton,3049,female,no_affiliation
1,USA,TX,Dallas,donald_trump,1829,female,republican
0.6875,USA,TX,Dallas,donald_trump,1829,male,republican
0.5833,USA,NY,New York,other,1829,male,independent_other
1,USA,WI,Schofield,donald_trump,1829,female,no_affiliation
0.7188,USA,TX,Dallas,donald_trump,1829,male,republican
0.625,USA,KY,Ashland,bernie_sanders,3049,male,democrat
1,USA,TX,El Paso,john_kasich,3049,male,republican
0.7188,USA,IL,Vernon Hills,hillary_clinton,3049,female,democrat
0.5,USA,CA,San Jose,donald_trump,1829,male,republican
1,USA,TX,Dallas,might_not_vote,1829,female,no_affiliation
0.7188,USA,NY,Rochester,bernie_sanders,1829,male,democrat
0.625,USA,NJ,Toms River,donald_trump,3049,male,independent_other
1,USA,NC,Tabor City,bernie_sanders,3049,female,independent_other
0.75,USA,NY,Middletown,bernie_sanders,3049,male,democrat
0.5625,USA,GA,Atlanta,hillary_clinton,1829,male,democrat
