_country,_city,_region
USA,Saratoga,CA
USA,Madison,MS
USA,New York,NY
USA,San Jose,CA
USA,San Jose,CA
USA,Atlanta,GA
USA,Dallas,TX
USA,Schofield,WI
USA,Ashland,KY
USA,Dekalb,IL
USA,Emporia,KS
USA,,DE
USA,Denver,CO
USA,New York,NY
USA,Papillion,NE
USA,Las Vegas,NV
USA,Knoxville,TN
USA,Jacksonville,NC
USA,Columbus,OH
USA,Kalamazoo,MI
USA,Los Angeles,CA
USA,San Jose,CA
USA,San Jose,CA
USA,Warsaw,IN
USA,El Paso,TX
USA,Atlanta,GA
USA,Katy,TX
USA,Taunton,MA
USA,Vernon Hills,IL
USA,Middletown,NY
USA,Atlanta,GA
USA,Utica,NY
USA,Mount Laurel,NJ
USA,Rochester,NY
USA,Toms River,NJ
USA,Mansfield,OH
USA,Berkeley,CA
USA,Dallas,TX
USA,Bergenfield,NJ
USA,Renton,WA
USA,Potsdam,NY
USA,Apo,AE
USA,Tabor City,NC
USA,Grand Haven,MI
USA,San Jose,CA
USA,Dallas,TX
USA,New York,NY
USA,Hartford,CT
USA,Apo,AE
USA,Evansville,IN
USA,San Jose,CA
USA,Noblesville,IN
USA,Battle Creek,MI
USA,Owensboro,KY
USA,Manitowoc,WI
USA,Newark,DE
USA,South Bound Brook,NJ
USA,San Jose,CA
USA,Charlotte,NC
USA,San Jose,CA
USA,Martinsville,VA
USA,Rochester,NY
USA,San Jose,CA
USA,San Jose,CA
USA,Indianapolis,IN
USA,Boston,MA
USA,San Jose,CA
USA,Birmingham,AL
USA,Edmond,OK
USA,Providence,UT
USA,Martinsburg,WV
USA,Dallas,TX
