,worker_id,group,flesch_coded,org,trust_binary
245,1944668,A,1,CNN,Agree
248,1944668,A,1,Fox News,Neutral
249,1944668,A,1,The New York Times,Agree
246,1944668,A,-1,The Wall Street Journal,Agree
196,1944668,B,1,CNN,Neutral
198,1944668,B,-1,The New York Times,Neutral
199,1944668,B,-1,The New York Times,Agree
173,2034278,A,-1,The New York Times,Neutral
170,2034278,A,-1,The Wall Street Journal,Neutral
174,2034278,A,-1,The Wall Street Journal,Agree
172,2034278,A,1,the Associated Press,Disagree
340,2034278,B,-1,CNN,Agree
343,2034278,B,-1,CNN,Agree
341,2034278,B,-1,The New York Times,Agree
342,2034278,B,1,The Wall Street Journal,Agree
178,6579519,A,-1,The New York Times,Agree
175,6579519,A,-1,The Wall Street Journal,Neutral
179,6579519,A,-1,The Wall Street Journal,Agree
177,6579519,A,1,the Associated Press,Agree
227,6579519,B,1,CNN,Agree
225,6579519,B,1,The New York Times,Agree
226,6579519,B,-1,The New York Times,Neutral
229,6579519,B,-1,The New York Times,Agree
228,6579519,B,-1,The Wall Street Journal,Agree
88,7333195,A,1,CNN,Neutral
89,7333195,A,1,CNN,Agree
86,7333195,A,-1,The Wall Street Journal,Agree
78,7333195,B,1,CNN,Disagree
79,7333195,B,1,CNN,Neutral
75,7333195,B,-1,The Wall Street Journal,Agree
119,7876293,A,1,CNN,Agree
116,7876293,A,-1,The New York Times,Agree
117,7876293,A,-1,The New York Times,Disagree
115,7876293,A,-1,The Wall Street Journal,Agree
11,7876293,B,1,CNN,Neutral
12,7876293,B,-1,The New York Times,Agree
14,7876293,B,-1,The New York Times,Agree
255,9383666,A,1,CNN,Agree
258,9383666,A,-1,The New York Times,Disagree
257,9383666,A,1,the Associated Press,Agree
279,9383666,B,1,CNN,Disagree
277,9383666,B,1,The New York Times,Agree
134,9559045,A,1,Fox News,Agree
130,9559045,A,-1,The New York Times,Neutral
131,9559045,A,-1,The Wall Street Journal,Agree
132,9559045,A,-1,The Wall Street Journal,Agree
24,9559045,B,1,CNN,Agree
21,9559045,B,1,Fox News,Agree
23,9559045,B,-1,The New York Times,Agree
129,11102360,A,1,Fox News,Neutral
125,11102360,A,-1,The New York Times,Agree
126,11102360,A,-1,The Wall Street Journal,Agree
127,11102360,A,-1,The Wall Street Journal,Agree
19,11102360,B,1,CNN,Neutral
16,11102360,B,1,Fox News,Neutral
18,11102360,B,-1,The New York Times,Neutral
137,11106820,A,1,CNN,Agree
135,11106820,A,-1,The New York Times,Agree
138,11106820,A,-1,The New York Times,Agree
139,11106820,A,-1,The New York Times,Agree
119,11106820,B,1,CNN,Neutral
115,11106820,B,-1,The New York Times,Neutral
117,11106820,B,-1,The New York Times,Neutral
116,11106820,B,-1,The Wall Street Journal,Neutral
301,12009597,A,1,CNN,Agree
303,12009597,A,1,CNN,Agree
300,12009597,A,-1,The New York Times,Neutral
237,12009597,B,1,CNN,Agree
235,12009597,B,1,The New York Times,Neutral
236,12009597,B,-1,The New York Times,Agree
239,12009597,B,-1,The New York Times,Neutral
238,12009597,B,-1,The Wall Street Journal,Neutral
274,13962932,A,1,CNN,Disagree
270,13962932,A,1,The New York Times,Agree
71,16468100,A,-1,The Wall Street Journal,Agree
74,16468100,A,1,The Wall Street Journal,Neutral
103,18053528,A,1,CNN,Neutral
104,18053528,A,1,Fox News,Neutral
101,18053528,A,-1,The New York Times,Neutral
102,18053528,A,-1,The New York Times,Neutral
36,18053528,B,1,CNN,Neutral
37,18053528,B,1,CNN,Neutral
39,18053528,B,1,The New York Times,Neutral
83,18386513,A,1,CNN,Agree
84,18386513,A,1,CNN,Agree
81,18386513,A,-1,The Wall Street Journal,Agree
83,18386513,B,1,CNN,Agree
84,18386513,B,1,CNN,Agree
80,18386513,B,-1,The Wall Street Journal,Agree
279,21017840,A,1,CNN,Neutral
275,21017840,A,1,The New York Times,Agree
103,21017840,B,1,CNN,Agree
104,21017840,B,1,Fox News,Agree
100,21017840,B,-1,The New York Times,Agree
101,21017840,B,-1,The New York Times,Neutral
260,21088425,A,1,CNN,Agree
263,21088425,A,-1,The New York Times,Neutral
262,21088425,A,1,the Associated Press,Agree
284,21490602,A,1,CNN,Disagree
280,21490602,A,1,The New York Times,Neutral
41,21678835,A,1,CNN,Neutral
43,21678835,A,1,CNN,Disagree
42,21678835,A,1,The New York Times,Agree
311,21678835,B,1,CNN,Neutral
312,21678835,B,1,CNN,Neutral
313,21678835,B,-1,The New York Times,Neutral
216,22345789,A,-1,CNN,Agree
219,22345789,A,1,CNN,Agree
215,22345789,A,-1,The New York Times,Agree
217,22345789,A,-1,The Wall Street Journal,Agree
206,22345789,B,1,CNN,Agree
208,22345789,B,-1,The New York Times,Agree
209,22345789,B,-1,The New York Times,Agree
53,23149109,B,1,Fox News,Agree
50,23149109,B,-1,The New York Times,Neutral
54,23149109,B,-1,The Wall Street Journal,Agree
161,24170547,A,1,CNN,Neutral
160,24170547,A,1,Fox News,Agree
114,24170547,B,1,CNN,Neutral
110,24170547,B,-1,The New York Times,Neutral
112,24170547,B,-1,The New York Times,Neutral
111,24170547,B,-1,The Wall Street Journal,Neutral
61,25111984,A,-1,The Wall Street Journal,Agree
