,worker_id,complexity,source,disclose_source,trust
0,36858304,-1,3,0,0
1,36858304,0,3,0,1
2,36858304,0,3,0,2
3,36858304,1,1,0,1
4,36858304,-1,3,0,1
5,28081782,-1,3,0,-1
6,28081782,0,3,0,0
7,28081782,0,3,0,-1
8,28081782,1,1,0,-1
9,28081782,-1,3,0,0
10,32424428,-1,3,0,1
11,32424428,0,3,0,1
12,32424428,0,3,0,0
13,32424428,1,1,0,0
14,32424428,-1,3,0,0
15,37078496,-1,3,0,1
16,37078496,0,3,0,0
17,37078496,0,3,0,0
18,37078496,1,1,0,0
19,37078496,1,2,0,1
20,35959061,-1,3,0,0
21,35959061,0,3,0,1
22,35959061,0,3,0,0
23,35959061,1,1,0,1
24,35959061,1,2,0,1
25,34938843,-1,3,0,2
26,34938843,0,3,0,2
27,34938843,0,3,0,2
28,34938843,1,1,0,2
29,34938843,1,2,0,2
30,36747744,0,5,0,2
31,36747744,1,1,0,2
32,36747744,1,3,0,2
33,36747744,1,1,0,0
34,36747744,0,3,0,1
35,36296882,0,5,0,1
36,36296882,1,1,0,0
37,36296882,1,3,0,-1
38,36296882,1,1,0,0
39,36296882,0,3,0,0
40,21678835,0,5,0,1
41,21678835,1,1,0,0
42,21678835,1,3,0,1
43,21678835,1,1,0,-1
44,21678835,0,3,0,0
45,29571331,-1,4,0,2
46,29571331,1,2,0,2
47,29571331,0,3,0,2
48,29571331,0,2,0,0
49,29571331,-1,3,0,0
50,27914150,-1,4,0,1
51,27914150,1,2,0,-1
52,27914150,0,3,0,0
53,27914150,0,2,0,0
54,27914150,-1,3,0,0
55,37198978,-1,4,0,-2
56,37198978,1,2,0,-1
57,37198978,0,3,0,-1
58,37198978,0,2,0,2
59,37198978,-1,3,0,-1
60,25111984,0,1,0,1
61,25111984,-1,4,0,2
62,25111984,0,2,0,0
63,25111984,0,1,0,1
64,25111984,1,4,0,2
65,36517633,0,1,0,1
66,36517633,-1,4,0,2
67,36517633,0,2,0,2
68,36517633,0,1,0,2
69,36517633,1,4,0,2
70,16468100,0,1,0,1
71,16468100,-1,4,0,1
72,16468100,0,2,0,1
73,16468100,0,1,0,1
74,16468100,1,4,0,0
75,32672123,0,4,0,1
76,32672123,-1,4,0,1
77,32672123,0,3,0,1
78,32672123,1,1,0,0
79,32672123,1,1,0,0
80,18386513,0,4,0,0
81,18386513,-1,4,0,1
82,18386513,0,3,0,1
83,18386513,1,1,0,1
84,18386513,1,1,0,1
85,7333195,0,4,0,1
86,7333195,-1,4,0,1
87,7333195,0,3,0,1
88,7333195,1,1,0,0
89,7333195,1,1,0,1
90,33280016,0,1,0,1
91,33280016,-1,3,0,-1
92,33280016,-1,3,0,0
93,33280016,1,1,0,0
94,33280016,1,2,0,1
95,25955589,0,1,0,1
96,25955589,-1,3,0,0
97,25955589,-1,3,0,0
98,25955589,1,1,0,0
99,25955589,1,2,0,0
100,18053528,0,1,0,0
101,18053528,-1,3,0,0
102,18053528,-1,3,0,0
103,18053528,1,1,0,0
104,18053528,1,2,0,0
105,32641084,-1,4,0,-1
106,32641084,-1,3,0,1
107,32641084,-1,3,0,0
108,32641084,0,1,0,1
109,32641084,1,1,0,2
110,36461899,-1,4,0,0
111,36461899,-1,3,0,0
112,36461899,-1,3,0,0
113,36461899,0,1,0,0
114,36461899,1,1,0,1
115,7876293,-1,4,0,1
116,7876293,-1,3,0,1
117,7876293,-1,3,0,-2
118,7876293,0,1,0,1
119,7876293,1,1,0,1
120,27770607,-1,3,0,2
121,27770607,-1,4,0,2
122,27770607,-1,4,0,2
123,27770607,0,1,0,1
124,27770607,1,2,0,1
125,11102360,-1,3,0,1
126,11102360,-1,4,0,1
127,11102360,-1,4,0,1
128,11102360,0,1,0,1
129,11102360,1,2,0,0
130,9559045,-1,3,0,0
131,9559045,-1,4,0,1
132,9559045,-1,4,0,1
133,9559045,0,1,0,1
134,9559045,1,2,0,1
135,11106820,-1,3,0,1
136,11106820,0,1,0,1
137,11106820,1,1,0,1
138,11106820,-1,3,0,1
139,11106820,-1,3,0,1
140,36187807,-1,3,0,0
141,36187807,0,1,0,0
142,36187807,1,1,0,0
143,36187807,-1,3,0,0
144,36187807,-1,3,0,0
145,31906954,-1,3,0,0
146,31906954,0,1,0,1
147,31906954,1,1,0,1
148,31906954,-1,3,0,1
149,31906954,-1,3,0,1
150,36603404,1,2,0,1
151,36603404,1,1,0,2
152,36603404,0,3,0,-1
153,36603404,0,3,0,1
154,36603404,0,1,0,0
155,32916723,1,2,0,0
156,32916723,1,1,0,0
157,32916723,0,3,0,1
158,32916723,0,3,0,1
159,32916723,0,1,0,0
160,24170547,1,2,0,1
161,24170547,1,1,0,0
162,24170547,0,3,0,0
163,24170547,0,3,0,0
164,24170547,0,1,0,1
165,36313064,-1,4,0,-1
166,36313064,0,3,0,-1
167,36313064,1,5,0,1
168,36313064,-1,3,0,0
169,36313064,-1,4,0,-1
170,2034278,-1,4,0,0
171,2034278,0,3,0,-1
172,2034278,1,5,0,-1
173,2034278,-1,3,0,0
174,2034278,-1,4,0,1
175,6579519,-1,4,0,0
176,6579519,0,3,0,0
177,6579519,1,5,0,1
178,6579519,-1,3,0,1
179,6579519,-1,4,0,1
180,33935063,1,1,0,0
181,33935063,1,1,0,0
182,33935063,-1,3,0,0
183,33935063,0,1,0,0
184,33935063,0,3,0,0
185,36807032,1,1,0,1
186,36807032,1,1,0,2
187,36807032,-1,3,0,2
188,36807032,0,1,0,0
189,36807032,0,3,0,1
190,35701460,1,1,0,0
191,35701460,1,1,0,1
192,35701460,-1,3,0,0
193,35701460,0,1,0,0
194,35701460,0,3,0,0
195,36263705,-1,3,0,0
196,36263705,0,3,0,-2
197,36263705,1,1,0,1
198,36263705,0,4,0,-1
199,36263705,-1,3,0,-1
200,31063905,-1,3,0,2
201,31063905,0,3,0,2
202,31063905,1,1,0,1
203,31063905,0,4,0,-1
204,31063905,-1,3,0,1
205,36871506,-1,3,0,0
206,36871506,0,3,0,1
207,36871506,1,1,0,1
208,36871506,0,4,0,1
209,36871506,-1,3,0,1
210,33245009,-1,3,0,0
211,33245009,-1,1,0,0
212,33245009,-1,4,0,1
213,33245009,0,3,0,1
214,33245009,1,1,0,1
215,22345789,-1,3,0,1
216,22345789,-1,1,0,2
217,22345789,-1,4,0,2
218,22345789,0,3,0,0
219,22345789,1,1,0,1
220,33345368,-1,3,0,1
221,33345368,-1,1,0,0
222,33345368,-1,4,0,0
223,33345368,0,3,0,1
224,33345368,1,1,0,0
225,36737825,-1,3,0,0
226,36737825,-1,3,0,1
227,36737825,-1,4,0,0
228,36737825,1,1,0,-1
229,36737825,1,3,0,0
230,29936162,-1,3,0,1
231,29936162,-1,3,0,1
232,29936162,-1,4,0,1
233,29936162,1,1,0,1
234,29936162,1,3,0,1
235,33591819,-1,3,0,2
236,33591819,-1,3,0,0
237,33591819,-1,4,0,2
238,33591819,1,1,0,1
239,33591819,1,3,0,2
240,34178978,1,1,0,2
241,34178978,-1,4,0,2
242,34178978,0,3,0,2
243,34178978,1,2,0,1
244,34178978,1,3,0,2
245,1944668,1,1,0,1
246,1944668,-1,4,0,1
247,1944668,0,3,0,1
248,1944668,1,2,0,0
249,1944668,1,3,0,1
250,30513549,1,1,0,2
251,30513549,-1,4,0,2
252,30513549,0,3,0,2
253,30513549,1,2,0,2
254,30513549,1,3,0,2
255,9383666,1,1,0,1
256,9383666,0,3,0,1
257,9383666,1,5,0,1
258,9383666,-1,3,0,-1
259,9383666,0,1,0,0
260,21088425,1,1,0,1
261,21088425,0,3,0,1
262,21088425,1,5,0,1
263,21088425,-1,3,0,0
264,21088425,0,1,0,1
265,35242242,1,1,0,1
266,35242242,0,3,0,1
267,35242242,1,5,0,1
268,35242242,-1,3,0,1
269,35242242,0,1,0,1
270,13962932,1,3,0,2
271,13962932,0,3,0,-1
272,13962932,0,3,0,0
273,13962932,0,3,0,2
274,13962932,1,1,0,-1
275,21017840,1,3,0,1
276,21017840,0,3,0,2
277,21017840,0,3,0,2
278,21017840,0,3,0,1
279,21017840,1,1,0,0
280,21490602,1,3,0,0
281,21490602,0,3,0,-1
282,21490602,0,3,0,-1
283,21490602,0,3,0,0
284,21490602,1,1,0,-1
285,34898132,1,5,0,0
286,34898132,0,1,0,1
287,34898132,0,1,0,0
288,34898132,0,5,0,-1
289,34898132,1,1,0,0
290,36304114,1,5,0,1
291,36304114,0,1,0,1
292,36304114,0,1,0,1
293,36304114,0,5,0,1
294,36304114,1,1,0,2
295,34694174,1,5,0,1
296,34694174,0,1,0,2
297,34694174,0,1,0,2
298,34694174,0,5,0,1
299,34694174,1,1,0,1
300,12009597,-1,3,0,0
301,12009597,1,1,0,1
302,12009597,0,3,0,1
303,12009597,1,1,0,1
304,12009597,0,1,0,0
305,30461260,-1,3,0,1
306,30461260,1,1,0,0
307,30461260,0,3,0,1
308,30461260,1,1,0,-1
309,30461260,0,1,0,0
310,36882579,-1,3,0,1
311,36882579,1,1,0,1
312,36882579,0,3,0,1
313,36882579,1,1,0,1
314,36882579,0,1,0,1
315,36354308,-1,3,0,1
316,36354308,-1,3,0,-1
317,36354308,1,2,0,1
318,36354308,0,1,0,-1
319,36354308,0,3,0,0
320,35408915,-1,3,0,1
321,35408915,-1,3,0,-1
322,35408915,1,2,0,1
323,35408915,0,1,0,1
324,35408915,0,3,0,1
325,30285892,-1,3,0,0
326,30285892,-1,3,0,1
327,30285892,1,2,0,1
328,30285892,0,1,0,0
329,30285892,0,3,0,2
330,34510906,-1,1,0,0
331,34510906,-1,1,0,1
332,34510906,-1,3,0,1
333,34510906,0,4,0,1
334,34510906,1,4,0,1
335,34737109,-1,1,0,1
336,34737109,-1,1,0,1
337,34737109,-1,3,0,0
338,34737109,0,4,0,-1
339,34737109,1,4,0,1
340,33565158,-1,1,0,1
341,33565158,-1,1,0,1
342,33565158,-1,3,0,1
343,33565158,0,4,0,0
344,33565158,1,4,0,1
345,34098234,0,4,0,0
346,34098234,0,4,0,1
347,34098234,1,2,0,0
348,34098234,-1,3,0,0
349,34098234,0,4,0,-1
350,33467170,0,4,0,1
351,33467170,0,4,0,1
352,33467170,1,2,0,1
353,33467170,-1,3,0,1
354,33467170,0,4,0,1
355,36761089,0,4,0,2
356,36761089,0,4,0,1
357,36761089,1,2,0,1
358,36761089,-1,3,0,1
359,36761089,0,4,0,1
