,worker_id,complexity,source,disclose_source,trust
0,36858304,-1,3,0,0
3,36858304,1,1,0,1
4,36858304,-1,3,0,1
5,28081782,-1,3,0,-1
8,28081782,1,1,0,-1
9,28081782,-1,3,0,0
10,32424428,-1,3,0,1
13,32424428,1,1,0,0
14,32424428,-1,3,0,0
15,37078496,-1,3,0,1
18,37078496,1,1,0,0
19,37078496,1,2,0,1
20,35959061,-1,3,0,0
23,35959061,1,1,0,1
24,35959061,1,2,0,1
25,34938843,-1,3,0,2
28,34938843,1,1,0,2
29,34938843,1,2,0,2
31,36747744,1,1,0,2
32,36747744,1,3,0,2
33,36747744,1,1,0,0
36,36296882,1,1,0,0
37,36296882,1,3,0,-1
38,36296882,1,1,0,0
41,21678835,1,1,0,0
42,21678835,1,3,0,1
43,21678835,1,1,0,-1
45,29571331,-1,4,0,2
46,29571331,1,2,0,2
49,29571331,-1,3,0,0
50,27914150,-1,4,0,1
51,27914150,1,2,0,-1
54,27914150,-1,3,0,0
55,37198978,-1,4,0,-2
56,37198978,1,2,0,-1
59,37198978,-1,3,0,-1
61,25111984,-1,4,0,2
64,25111984,1,4,0,2
66,36517633,-1,4,0,2
69,36517633,1,4,0,2
71,16468100,-1,4,0,1
74,16468100,1,4,0,0
76,32672123,-1,4,0,1
78,32672123,1,1,0,0
79,32672123,1,1,0,0
81,18386513,-1,4,0,1
83,18386513,1,1,0,1
84,18386513,1,1,0,1
86,7333195,-1,4,0,1
88,7333195,1,1,0,0
89,7333195,1,1,0,1
91,33280016,-1,3,0,-1
92,33280016,-1,3,0,0
93,33280016,1,1,0,0
94,33280016,1,2,0,1
96,25955589,-1,3,0,0
97,25955589,-1,3,0,0
98,25955589,1,1,0,0
99,25955589,1,2,0,0
101,18053528,-1,3,0,0
102,18053528,-1,3,0,0
103,18053528,1,1,0,0
104,18053528,1,2,0,0
105,32641084,-1,4,0,-1
106,32641084,-1,3,0,1
107,32641084,-1,3,0,0
109,32641084,1,1,0,2
110,36461899,-1,4,0,0
111,36461899,-1,3,0,0
112,36461899,-1,3,0,0
114,36461899,1,1,0,1
115,7876293,-1,4,0,1
116,7876293,-1,3,0,1
117,7876293,-1,3,0,-2
119,7876293,1,1,0,1
120,27770607,-1,3,0,2
121,27770607,-1,4,0,2
122,27770607,-1,4,0,2
124,27770607,1,2,0,1
125,11102360,-1,3,0,1
126,11102360,-1,4,0,1
127,11102360,-1,4,0,1
129,11102360,1,2,0,0
130,9559045,-1,3,0,0
131,9559045,-1,4,0,1
132,9559045,-1,4,0,1
134,9559045,1,2,0,1
135,11106820,-1,3,0,1
137,11106820,1,1,0,1
138,11106820,-1,3,0,1
139,11106820,-1,3,0,1
140,36187807,-1,3,0,0
142,36187807,1,1,0,0
143,36187807,-1,3,0,0
144,36187807,-1,3,0,0
145,31906954,-1,3,0,0
147,31906954,1,1,0,1
148,31906954,-1,3,0,1
149,31906954,-1,3,0,1
150,36603404,1,2,0,1
151,36603404,1,1,0,2
155,32916723,1,2,0,0
156,32916723,1,1,0,0
160,24170547,1,2,0,1
161,24170547,1,1,0,0
165,36313064,-1,4,0,-1
167,36313064,1,5,0,1
168,36313064,-1,3,0,0
169,36313064,-1,4,0,-1
170,2034278,-1,4,0,0
172,2034278,1,5,0,-1
173,2034278,-1,3,0,0
174,2034278,-1,4,0,1
175,6579519,-1,4,0,0
177,6579519,1,5,0,1
178,6579519,-1,3,0,1
179,6579519,-1,4,0,1
180,33935063,1,1,0,0
181,33935063,1,1,0,0
182,33935063,-1,3,0,0
185,36807032,1,1,0,1
186,36807032,1,1,0,2
187,36807032,-1,3,0,2
190,35701460,1,1,0,0
191,35701460,1,1,0,1
192,35701460,-1,3,0,0
195,36263705,-1,3,0,0
197,36263705,1,1,0,1
199,36263705,-1,3,0,-1
200,31063905,-1,3,0,2
202,31063905,1,1,0,1
204,31063905,-1,3,0,1
205,36871506,-1,3,0,0
207,36871506,1,1,0,1
209,36871506,-1,3,0,1
210,33245009,-1,3,0,0
211,33245009,-1,1,0,0
212,33245009,-1,4,0,1
214,33245009,1,1,0,1
215,22345789,-1,3,0,1
216,22345789,-1,1,0,2
217,22345789,-1,4,0,2
219,22345789,1,1,0,1
220,33345368,-1,3,0,1
221,33345368,-1,1,0,0
222,33345368,-1,4,0,0
224,33345368,1,1,0,0
225,36737825,-1,3,0,0
226,36737825,-1,3,0,1
227,36737825,-1,4,0,0
228,36737825,1,1,0,-1
229,36737825,1,3,0,0
230,29936162,-1,3,0,1
231,29936162,-1,3,0,1
232,29936162,-1,4,0,1
233,29936162,1,1,0,1
234,29936162,1,3,0,1
235,33591819,-1,3,0,2
236,33591819,-1,3,0,0
237,33591819,-1,4,0,2
238,33591819,1,1,0,1
239,33591819,1,3,0,2
240,34178978,1,1,0,2
241,34178978,-1,4,0,2
243,34178978,1,2,0,1
244,34178978,1,3,0,2
245,1944668,1,1,0,1
246,1944668,-1,4,0,1
248,1944668,1,2,0,0
249,1944668,1,3,0,1
250,30513549,1,1,0,2
251,30513549,-1,4,0,2
253,30513549,1,2,0,2
254,30513549,1,3,0,2
255,9383666,1,1,0,1
257,9383666,1,5,0,1
258,9383666,-1,3,0,-1
260,21088425,1,1,0,1
262,21088425,1,5,0,1
263,21088425,-1,3,0,0
265,35242242,1,1,0,1
267,35242242,1,5,0,1
268,35242242,-1,3,0,1
270,13962932,1,3,0,2
274,13962932,1,1,0,-1
275,21017840,1,3,0,1
279,21017840,1,1,0,0
280,21490602,1,3,0,0
284,21490602,1,1,0,-1
285,34898132,1,5,0,0
289,34898132,1,1,0,0
290,36304114,1,5,0,1
294,36304114,1,1,0,2
295,34694174,1,5,0,1
299,34694174,1,1,0,1
300,12009597,-1,3,0,0
301,12009597,1,1,0,1
303,12009597,1,1,0,1
305,30461260,-1,3,0,1
306,30461260,1,1,0,0
308,30461260,1,1,0,-1
310,36882579,-1,3,0,1
311,36882579,1,1,0,1
313,36882579,1,1,0,1
315,36354308,-1,3,0,1
316,36354308,-1,3,0,-1
317,36354308,1,2,0,1
320,35408915,-1,3,0,1
321,35408915,-1,3,0,-1
322,35408915,1,2,0,1
325,30285892,-1,3,0,0
326,30285892,-1,3,0,1
327,30285892,1,2,0,1
330,34510906,-1,1,0,0
331,34510906,-1,1,0,1
332,34510906,-1,3,0,1
334,34510906,1,4,0,1
335,34737109,-1,1,0,1
336,34737109,-1,1,0,1
337,34737109,-1,3,0,0
339,34737109,1,4,0,1
340,33565158,-1,1,0,1
341,33565158,-1,1,0,1
342,33565158,-1,3,0,1
344,33565158,1,4,0,1
347,34098234,1,2,0,0
348,34098234,-1,3,0,0
352,33467170,1,2,0,1
353,33467170,-1,3,0,1
357,36761089,1,2,0,1
358,36761089,-1,3,0,1
1,35959061,1,1,1,0
2,35959061,-1,3,1,1
4,35959061,-1,3,1,1
6,34510906,1,1,1,0
7,34510906,-1,3,1,0
9,34510906,-1,3,1,0
11,7876293,1,1,1,0
12,7876293,-1,3,1,1
14,7876293,-1,3,1,1
16,11102360,1,2,1,0
18,11102360,-1,3,1,0
19,11102360,1,1,1,0
21,9559045,1,2,1,1
23,9559045,-1,3,1,1
24,9559045,1,1,1,1
26,32641084,1,2,1,0
28,32641084,-1,3,1,0
29,32641084,1,1,1,-1
31,36354308,1,1,1,0
32,36354308,1,1,1,0
34,36354308,1,3,1,2
36,18053528,1,1,1,0
37,18053528,1,1,1,0
39,18053528,1,3,1,0
41,32055577,1,1,1,1
42,32055577,1,1,1,1
44,32055577,1,3,1,1
45,36917158,-1,3,1,0
48,36917158,1,2,1,-1
49,36917158,-1,4,1,0
50,23149109,-1,3,1,0
53,23149109,1,2,1,2
54,23149109,-1,4,1,1
55,37207829,-1,3,1,2
58,37207829,1,2,1,0
59,37207829,-1,4,1,-2
60,35242242,-1,4,1,1
62,35242242,1,4,1,1
65,25955589,-1,4,1,1
67,25955589,1,4,1,0
70,28081782,-1,4,1,1
72,28081782,1,4,1,-2
75,7333195,-1,4,1,1
78,7333195,1,1,1,-1
79,7333195,1,1,1,0
80,18386513,-1,4,1,1
83,18386513,1,1,1,1
84,18386513,1,1,1,1
85,30461260,-1,4,1,0
88,30461260,1,1,1,0
89,30461260,1,1,1,0
90,36858304,-1,3,1,0
91,36858304,-1,3,1,1
93,36858304,1,1,1,0
94,36858304,1,2,1,1
95,35942389,-1,3,1,1
96,35942389,-1,3,1,2
98,35942389,1,1,1,1
99,35942389,1,2,1,2
100,21017840,-1,3,1,1
101,21017840,-1,3,1,0
103,21017840,1,1,1,1
104,21017840,1,2,1,1
105,33280016,-1,3,1,0
106,33280016,-1,4,1,-1
107,33280016,-1,3,1,1
109,33280016,1,1,1,2
110,24170547,-1,3,1,0
111,24170547,-1,4,1,0
112,24170547,-1,3,1,0
114,24170547,1,1,1,0
115,11106820,-1,3,1,0
116,11106820,-1,4,1,0
117,11106820,-1,3,1,0
119,11106820,1,1,1,0
120,36304114,-1,4,1,1
121,36304114,-1,3,1,1
122,36304114,-1,4,1,1
124,36304114,1,2,1,1
125,34694174,-1,4,1,2
126,34694174,-1,3,1,2
127,34694174,-1,4,1,2
129,34694174,1,2,1,2
130,33345368,-1,4,1,1
131,33345368,-1,3,1,0
132,33345368,-1,4,1,1
134,33345368,1,2,1,0
135,36517633,-1,3,1,1
137,36517633,-1,3,1,2
138,36517633,1,1,1,2
139,36517633,-1,3,1,2
140,36871506,-1,3,1,1
142,36871506,-1,3,1,1
143,36871506,1,1,1,1
144,36871506,-1,3,1,1
145,31063905,-1,3,1,1
147,31063905,-1,3,1,1
148,31063905,1,1,1,2
149,31063905,-1,3,1,0
151,25111984,1,1,1,0
152,25111984,1,2,1,0
156,36263705,1,1,1,-1
157,36263705,1,2,1,-1
161,30513549,1,1,1,1
162,30513549,1,2,1,1
165,36882579,-1,4,1,1
166,36882579,-1,3,1,1
167,36882579,-1,4,1,0
168,36882579,1,5,1,1
170,36304905,-1,4,1,1
171,36304905,-1,3,1,1
172,36304905,-1,4,1,1
173,36304905,1,5,1,0
175,25501853,-1,4,1,0
176,25501853,-1,3,1,1
177,25501853,-1,4,1,1
178,25501853,1,5,1,1
181,32424428,1,1,1,0
182,32424428,1,1,1,0
183,32424428,-1,3,1,0
186,35408915,1,1,1,0
187,35408915,1,1,1,1
188,35408915,-1,3,1,0
191,34178978,1,1,1,2
192,34178978,1,1,1,1
193,34178978,-1,3,1,2
196,1944668,1,1,1,0
198,1944668,-1,3,1,0
199,1944668,-1,3,1,1
201,34898132,1,1,1,-1
203,34898132,-1,3,1,-1
204,34898132,-1,3,1,0
206,22345789,1,1,1,1
208,22345789,-1,3,1,1
209,22345789,-1,3,1,1
210,33591819,-1,1,1,2
211,33591819,-1,3,1,1
212,33591819,-1,4,1,1
214,33591819,1,1,1,1
215,34098234,-1,1,1,0
216,34098234,-1,3,1,0
217,34098234,-1,4,1,-1
219,34098234,1,1,1,0
220,33467170,-1,1,1,1
221,33467170,-1,3,1,0
222,33467170,-1,4,1,0
224,33467170,1,1,1,1
225,6579519,1,3,1,1
226,6579519,-1,3,1,0
227,6579519,1,1,1,1
228,6579519,-1,4,1,1
229,6579519,-1,3,1,1
230,32672123,1,3,1,0
231,32672123,-1,3,1,1
232,32672123,1,1,1,2
233,32672123,-1,4,1,1
234,32672123,-1,3,1,1
235,12009597,1,3,1,0
236,12009597,-1,3,1,1
237,12009597,1,1,1,1
238,12009597,-1,4,1,0
239,12009597,-1,3,1,0
241,29571331,-1,4,1,2
242,29571331,1,1,1,2
243,29571331,1,2,1,2
244,29571331,1,3,1,0
246,27914150,-1,4,1,0
247,27914150,1,1,1,0
248,27914150,1,2,1,0
249,27914150,1,3,1,0
251,37198978,-1,4,1,-2
252,37198978,1,1,1,2
253,37198978,1,2,1,1
254,37198978,1,3,1,-1
255,33427067,-1,3,1,0
256,33427067,1,1,1,0
257,33427067,1,5,1,1
260,37078496,-1,3,1,1
261,37078496,1,1,1,1
262,37078496,1,5,1,1
265,32916723,-1,3,1,1
266,32916723,1,1,1,1
267,32916723,1,5,1,0
272,36603404,1,3,1,0
