worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_3_contributors
1944668,996955,1,0,0,0,prodege,USA,IN,Evansville,96.28.220.110,,,0,,1.0,60,1.0
2034278,43286,1,0,0,0,prodege,USA,NJ,Toms River,24.0.73.168,,,0,,1.0,0,1.0
6340330,2127297,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6579519,4697764,1,0,0,0,prodege,USA,OH,Mansfield,71.55.62.18,,,0,,1.0,60,1.0
7333195,4833707,1,0,0,0,prodege,USA,NC,Jacksonville,98.24.245.86,,,0,,1.0,60,1.0
7876293,pinkpony,1,0,0,0,zoombucks,USA,IN,Warsaw,184.1.154.49,,,0,,1.0,60,1.0
9383666,concorb,1,0,0,0,zoombucks,USA,IN,Noblesville,73.146.49.152,,,0,,1.0,0,1.0
9559045,4904896,1,0,0,0,prodege,USA,TX,Katy,107.204.185.88,,,0,,1.0,60,1.0
10032240,4306937,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11102360,6137CB304980996D41A29D4352C72707,1,0,0,0,neodev,USA,GA,Atlanta,73.237.145.187,,,0,,1.0,60,1.0
11106820,3048347,1,0,0,0,clixsense,USA,MA,Taunton,173.76.210.82,,,0,,1.0,60,1.0
12009597,969977,1,0,0,0,prodege,USA,VA,Martinsville,67.174.76.148,,,0,,1.0,60,1.0
18053528,5404913,1,0,0,0,clixsense,USA,CA,Los Angeles,24.136.95.190,,,0,,1.0,60,1.0
18386513,LacysWife,1,0,0,0,instagc,USA,TN,Knoxville,98.70.108.186,,,0,,1.0,0,1.0
18785646,2709371,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
19425875,JBUFC,0,0,0,0,instagc,,,,,,,0,,1.0,0,1.0
21017840,dreamerskyte,1,0,0,0,instagc,USA,DE,Newark,128.4.72.8,,,0,,1.0,60,1.0
21678835,145218,1,0,0,0,bitcoinget,USA,KY,Ashland,76.177.160.209,,,0,,1.0,0,1.0
22345789,mamagail,1,0,0,0,instagc,USA,MI,Grand Haven,97.91.12.13,,,0,,1.0,60,1.0
